tempo,chroma_stft,rmse,spectral_centroid,spectral_bandwidth,rolloff,zero_crossing_rate,mfcc,genre,emotion,style
[139.67483108],"[0.26220527 0.32319113 0.37188274 0.31802128 0.21607642 0.23340975
 0.3872648  0.5802159  0.54216764 0.50220901 0.34864129 0.27708822]",[0.24871005],[1638.76865567],[2201.45401442],[3593.26860581],[0.0265344],"[-185.42719423  159.23148941  -20.72676458   51.22430857   -1.49810464
   19.43696679    8.93607464   -7.10233452    5.07771818  -10.85963735
   -4.68324535   -1.20027818   -8.77146209]",sertanejo,animada,modão
[99.38401442],"[0.35680687 0.4778437  0.56455815 0.41086689 0.41003889 0.34693574
 0.37642386 0.36957147 0.38424501 0.47197772 0.40738353 0.42012933]",[0.16947094],[2601.22262075],[2975.39478941],[5399.38182507],[0.06218969],"[-102.23767325  159.78859183  -45.77704092   36.3040507   -23.9691277
   20.1274838   -17.76259645    7.59635814  -10.48981455    5.81315373
   -1.99520748   -0.20399295   -1.14124288]",sertanejo,triste,caipira
